name,bodies.name,bodies.subType,bodies.spectralClass
BD+18 1461,BD+18 1461,K (Yellow-Orange) Star,K6
LTT 12033,LTT 12033 A,K (Yellow-Orange) Star,K5
Dala,Dala A,K (Yellow-Orange) Star,K3
LTT 4461,LTT 4461,K (Yellow-Orange) Star,K3
HIP 76701,HIP 76701,G (White-Yellow) Star,G6
HIP 78313,HIP 78313 A,K (Yellow-Orange) Star,K0
BD+29 1754,BD+29 1754 A,K (Yellow-Orange) Star,K8
GCRV 60778,GCRV 60778,K (Yellow-Orange) Star,K4
HIP 74174,HIP 74174 A,K (Yellow-Orange) Star,K4
HIP 51874,HIP 51874 A,K (Yellow-Orange) Star,K0
HIP 67031,HIP 67031 A,K (Yellow-Orange) Star,K1
HIP 70681,HIP 70681,G (White-Yellow) Star,G3
HIP 52891,HIP 52891 A,G (White-Yellow) Star,G5
HIP 59310,HIP 59310,K (Yellow-Orange) Star,K5
HIP 61129,HIP 61129 A,G (White-Yellow) Star,G5
HIP 10325,HIP 10325 A,K (Yellow-Orange giant) Star,K1
HR 408,HR 408,K (Yellow-Orange giant) Star,K0
Mu Phoenicis,Mu Phoenicis,G (White-Yellow) Star,G8
HIP 1781,HIP 1781 A,G (White-Yellow) Star,G3
HIP 12368,HIP 12368 A,K (Yellow-Orange) Star,K5
HIP 4668,HIP 4668 A,G (White-Yellow) Star,G6
HIP 1613,HIP 1613,K (Yellow-Orange) Star,K1
HIP 115380,HIP 115380 A,K (Yellow-Orange) Star,K3
HIP 10123,HIP 10123,K (Yellow-Orange) Star,K5
HIP 10589,HIP 10589 A,K (Yellow-Orange) Star,K7
BPM 16204,BPM 16204,K (Yellow-Orange) Star,K7
L 170-63,L 170-63 A,K (Yellow-Orange) Star,K5
L 170-63,L 170-63 B,K (Yellow-Orange) Star,K2
HIP 109228,HIP 109228 A,K (Yellow-Orange giant) Star,K0
HIP 15493,HIP 15493,K (Yellow-Orange) Star,K0
Miphifa,Miphifa,K (Yellow-Orange) Star,K4
Jotunheim,Jotunheim,K (Yellow-Orange) Star,K7
Meropis,Meropis,K (Yellow-Orange) Star,K5
HIP 109203,HIP 109203,G (White-Yellow) Star,G8
HIP 102548,HIP 102548,G (White-Yellow) Star,G6
HIP 21991,HIP 21991,K (Yellow-Orange) Star,K2
HIP 18918,HIP 18918,K (Yellow-Orange) Star,K5
CD-36 1535,CD-36 1535,K (Yellow-Orange) Star,K0
Firdaus,Firdaus B,K (Yellow-Orange giant) Star,K1
CD-79 950,CD-79 950,G (White-Yellow) Star,G6
HIP 95256,HIP 95256,K (Yellow-Orange) Star,K2
LTT 2062,LTT 2062,K (Yellow-Orange) Star,K6
CPD-59 314,CPD-59 314,K (Yellow-Orange) Star,K5
CPC 22 212,CPC 22 212,K (Yellow-Orange) Star,K2
LTT 5659,LTT 5659,K (Yellow-Orange) Star,K3
HIP 79735,HIP 79735 A,K (Yellow-Orange) Star,K0
Eximo,Eximo A,K (Yellow-Orange) Star,K4
Riki,Riki,K (Yellow-Orange) Star,K2
LTT 4961,LTT 4961,K (Yellow-Orange) Star,K6
HIP 74255,HIP 74255 A,K (Yellow-Orange) Star,K2
HIP 37376,HIP 37376,K (Yellow-Orange) Star,K5
Andel,Andel,K (Yellow-Orange) Star,K5
Skaut,Skaut,K (Yellow-Orange) Star,K4
Santa Muerte,Santa Muerte,G (White-Yellow) Star,G8
HIP 37722,HIP 37722 A,G (White-Yellow) Star,G5
HIP 40449,HIP 40449 A,K (Yellow-Orange) Star,K5
LTT 3818,LTT 3818 A,K (Yellow-Orange) Star,K5
HIP 57645,HIP 57645 A,K (Yellow-Orange) Star,K2
LTT 5053,LTT 5053,K (Yellow-Orange) Star,K3
HIP 71122,HIP 71122,K (Yellow-Orange) Star,K7
HIP 48165,HIP 48165,G (White-Yellow) Star,G5
HIP 49846,HIP 49846,G (White-Yellow) Star,G8
HIP 53169,HIP 53169 A,K (Yellow-Orange) Star,K4
Ross 922,Ross 922 A,K (Yellow-Orange) Star,K5
HIP 64203,HIP 64203 A,K (Yellow-Orange) Star,K5
HIP 68688,HIP 68688,K (Yellow-Orange) Star,K0
HIP 50155,HIP 50155,G (White-Yellow) Star,G5
HIP 60953,HIP 60953 A,K (Yellow-Orange) Star,K3
HIP 7154,HIP 7154,K (Yellow-Orange) Star,K5
Laka,Laka,G (White-Yellow) Star,G8
HIP 14617,HIP 14617,K (Yellow-Orange) Star,K0
HIP 7766,HIP 7766 A,K (Yellow-Orange) Star,K0
HIP 3352,HIP 3352 A,K (Yellow-Orange giant) Star,K3
HIP 16954,HIP 16954,K (Yellow-Orange) Star,K0
HIP 13350,HIP 13350 A,G (White-Yellow) Star,G6
HIP 8744,HIP 8744,K (Yellow-Orange) Star,K5
HIP 117014,HIP 117014,G (White-Yellow) Star,G8
HIP 108464,HIP 108464,K (Yellow-Orange) Star,K5
HIP 18466,HIP 18466,K (Yellow-Orange) Star,K0
HIP 18427,HIP 18427 A,K (Yellow-Orange) Star,K1
HIP 11598,HIP 11598,K (Yellow-Orange) Star,K5
Theta Octantis,Theta Octantis,K (Yellow-Orange giant) Star,K3
Mu-1 Pavonis,Mu-1 Pavonis,K (Yellow-Orange giant) Star,K0
HIP 20277,HIP 20277,K (Yellow-Orange) Star,K2
HIP 83217,HIP 83217,G (White-Yellow) Star,G8
HIP 31187,HIP 31187 A,K (Yellow-Orange) Star,K0
Mors,Mors,K (Yellow-Orange giant) Star,K1
HIP 29964,HIP 29964 A,K (Yellow-Orange) Star,K4
HIP 50274,HIP 50274 A,G (White-Yellow) Star,G8
HIP 74405,HIP 74405 A,G (White-Yellow) Star,G9
HIP 31332,HIP 31332 A,K (Yellow-Orange) Star,K0
LTT 2963,LTT 2963 A,K (Yellow-Orange) Star,K6
BD+53 912,BD+53 912 A,K (Yellow-Orange) Star,K0
HIP 59533,HIP 59533 A,G (White-Yellow) Star,G8
Gliese 9468,Gliese 9468,G (White-Yellow) Star,G8
HIP 39417,HIP 39417,G (White-Yellow) Star,G8
26 Alpha Monocerotis,26 Alpha Monocerotis A,K (Yellow-Orange giant) Star,K0
BD-15 2506,BD-15 2506,K (Yellow-Orange) Star,K6
HIP 45251,HIP 45251 A,K (Yellow-Orange) Star,K6
HIP 59419,HIP 59419,K (Yellow-Orange) Star,K2
HIP 50807,HIP 50807,K (Yellow-Orange) Star,K3
HIP 54362,HIP 54362,K (Yellow-Orange) Star,K5
Gliese 9407,Gliese 9407 A,K (Yellow-Orange) Star,K0
HIP 65346,HIP 65346,G (White-Yellow) Star,G5
HIP 49104,HIP 49104,K (Yellow-Orange) Star,K5
HIP 48365,HIP 48365 A,K (Yellow-Orange) Star,K0
HIP 52933,HIP 52933,K (Yellow-Orange giant) Star,K1
HIP 17269,HIP 17269,G (White-Yellow) Star,G5
Dilgaenses,Dilgaenses,K (Yellow-Orange) Star,K2
Xakria,Xakria,G (White-Yellow) Star,G5
HIP 19334,HIP 19334,K (Yellow-Orange) Star,K5
HIP 18964,HIP 18964 A,K (Yellow-Orange) Star,K5
Gyvathaime,Gyvathaime,K (Yellow-Orange) Star,K4
Gamma-3 Octantis,Gamma-3 Octantis,K (Yellow-Orange giant) Star,K1
HIP 20551,HIP 20551,K (Yellow-Orange) Star,K0
HIP 21609,HIP 21609,F (White) Star,F8
HIP 8119,HIP 8119 A,K (Yellow-Orange) Star,K0
HIP 108322,HIP 108322,G (White-Yellow) Star,G8
HIP 26883,HIP 26883 A,K (Yellow-Orange) Star,K0
HIP 27134,HIP 27134 A,K (Yellow-Orange) Star,K0
Hunapel,Hunapel,K (Yellow-Orange) Star,K5
HIP 24542,HIP 24542 A,G (White-Yellow) Star,G8
HIP 52065,HIP 52065 A,G (White-Yellow) Star,G5
HIP 32812,HIP 32812 A,K (Yellow-Orange) Star,K0
HIP 34961,HIP 34961,G (White-Yellow) Star,G8
LTT 2771,LTT 2771,G (White-Yellow) Star,G6
Nu Chamaelontis,Nu Chamaelontis,G (White-Yellow) Star,G8
HIP 37171,HIP 37171 A,G (White-Yellow) Star,G5
HIP 36964,HIP 36964 A,G (White-Yellow) Star,G8
HIP 41681,HIP 41681,G (White-Yellow) Star,G8
HIP 50765,HIP 50765,K (Yellow-Orange) Star,K2
HIP 54846,HIP 54846,K (Yellow-Orange) Star,K0
HIP 50866,HIP 50866 A,K (Yellow-Orange) Star,K0
HIP 50176,HIP 50176,K (Yellow-Orange) Star,K1
HIP 52923,HIP 52923 A,G (White-Yellow) Star,G8
HIP 9610,HIP 9610,G (White-Yellow) Star,G8
HIP 25759,HIP 25759 A,G (White-Yellow) Star,G0
HIP 28573,HIP 28573 A,K (Yellow-Orange) Star,K2
HR 8970,HR 8970,A (Blue-White) Star,A2
HR 4062,HR 4062,A (Blue-White) Star,A9
Nu Tauri,Nu Tauri,A (Blue-White) Star,A0
64 Geminorum,64 Geminorum,A (Blue-White) Star,A2
H Puppis,H Puppis,A (Blue-White) Star,A5
HIP 17892,HIP 17892,B (Blue-White) Star,B9
Theta Capricorni,Theta Capricorni A,A (Blue-White) Star,A1
Beta Pictoris,Beta Pictoris,A (Blue-White) Star,A5
Phi-1 Pavonis,Phi-1 Pavonis,F (White) Star,F0
q Velorum,q Velorum A,A (Blue-White) Star,A2
HIP 116510,HIP 116510 A,A (Blue-White) Star,A6
Beta Pavonis,Beta Pavonis,A (Blue-White) Star,A5
Fomalhaut,Fomalhaut,A (Blue-White) Star,A4
39 b Draconis,39 b Draconis A,A (Blue-White) Star,A2
HIP 71466,HIP 71466,F (White) Star,F7
HIP 116482,HIP 116482 A,A (Blue-White) Star,A2
Skat,Skat A,A (Blue-White) Star,A3
Caph,Caph,F (White) Star,F2
Gliese 668.1,Gliese 668.1 A,K (Yellow-Orange) Star,K0
17 Draconis,17 Draconis,B (Blue-White) Star,B9
Mu Andromedae,Mu Andromedae,A (Blue-White) Star,A6
5 Epsilon-2 Lyrae,5 Epsilon-2 Lyrae,A (Blue-White) Star,A6
33 Bootis,33 Bootis A,A (Blue-White) Star,A0
Zeta Microscopii,Zeta Microscopii A,F (White) Star,F5
HR 3277,HR 3277,A (Blue-White) Star,A2
10 Hydrae,10 Hydrae,A (Blue-White) Star,A6
49 Arietis,49 Arietis,A (Blue-White) Star,A3
98 Aquarii,98 Aquarii,K (Yellow-Orange giant) Star,K1
HR 6534,HR 6534,A (Blue-White) Star,A5
HR 5473,HR 5473 A,A (Blue-White) Star,A8
Theta Pavonis,Theta Pavonis,A (Blue-White) Star,A8
26 Ceti,26 Ceti,A (Blue-White) Star,A8
16 Lyrae,16 Lyrae,A (Blue-White) Star,A6
Xi Phoenicis,Xi Phoenicis,A (Blue-White) Star,A3
63 Eridani,63 Eridani,G (White-Yellow) Star,G6
Omega-1 Aquarii,Omega-1 Aquarii,A (Blue-White) Star,A9
HIP 28774,HIP 28774 A,A (Blue-White) Star,A0
62 Gamma Ophiuchi,62 Gamma Ophiuchi,A (Blue-White) Star,A1
HR 3495,HR 3495,A (Blue-White) Star,A4
HIP 10792,HIP 10792,A (Blue-White) Star,A3
HIP 1026,HIP 1026,F (White) Star,F2
HIP 97336,HIP 97336,G (White-Yellow) Star,G2
HIP 17225,HIP 17225 A,F (White) Star,F0
HIP 8285,HIP 8285 A,G (White-Yellow) Star,G1
HR 17,HR 17 A,F (White) Star,F7
BD+41 3013,BD+41 3013,F (White) Star,F8
HIP 71440,HIP 71440,G (White-Yellow) Star,G0
HIP 79327,HIP 79327,F (White) Star,F8
HIP 5301,HIP 5301,G (White-Yellow) Star,G5
HIP 104549,HIP 104549,G (White-Yellow) Star,G1
BD+20 518,BD+20 518,G (White-Yellow) Star,G5
Hecate,Hecate,G (White-Yellow) Star,G0
Crevit,Crevit,G (White-Yellow) Star,G0
44 Rho-1 Sagittarii,44 Rho-1 Sagittarii A,A (Blue-White) Star,A9
Furuhjelm III-674,Furuhjelm III-674,G (White-Yellow) Star,G5
47 Ursae Majoris,47 Ursae Majoris,G (White-Yellow) Star,G1
HR 5996,HR 5996,G (White-Yellow) Star,G1
Istanu,Istanu,G (White-Yellow) Star,G7
HIP 72223,HIP 72223 A,F (White) Star,F7
Lalande 28607,Lalande 28607 A,A (Blue-White super giant) Star,A5
HIP 60230,HIP 60230 A,K (Yellow-Orange) Star,K0
HIP 1487,HIP 1487,F (White) Star,F6
HIP 1114,HIP 1114,F (White) Star,F6
HIP 11359,HIP 11359,G (White-Yellow) Star,G5
HIP 801,HIP 801 A,G (White-Yellow) Star,G2
HIP 1582,HIP 1582 A,G (White-Yellow) Star,G0
Lausang,Lausang,G (White-Yellow) Star,G1
Mat Zemlya,Mat Zemlya,G (White-Yellow) Star,G6
HIP 28813,HIP 28813 A,F (White) Star,F6
Eta Leporis,Eta Leporis,F (White) Star,F2
Andceeth,Andceeth,G (White-Yellow) Star,G6
Arque,Arque,G (White-Yellow) Star,G4
HIP 43670,HIP 43670 A,G (White-Yellow) Star,G8
HIP 53186,HIP 53186 A,G (White-Yellow) Star,G0
HIP 64783,HIP 64783,G (White-Yellow) Star,G1
HIP 49771,HIP 49771 A,G (White-Yellow) Star,G0
HIP 11575,HIP 11575 A,G (White-Yellow) Star,G3
HIP 7106,HIP 7106 A,F (White) Star,F5
HIP 16272,HIP 16272,G (White-Yellow) Star,G3
HIP 1914,HIP 1914,G (White-Yellow) Star,G0
HIP 24947,HIP 24947 A,F (White) Star,F6
SPOCS 343,SPOCS 343,G (White-Yellow) Star,G1
HIP 56447,HIP 56447 A,G (White-Yellow) Star,G8
HIP 43988,HIP 43988,G (White-Yellow) Star,G8
HIP 19776,HIP 19776,F (White) Star,F8
Seagull Sector DL-Y d3,Seagull Sector DL-Y d3 A,G (White-Yellow) Star,G8
HR 2209,HR 2209 A,A (Blue-White) Star,A0
14 Vulpeculae,14 Vulpeculae,F (White) Star,F1
102 Iota Tauri,102 Iota Tauri A,A (Blue-White) Star,A7
18 Lambda Piscium,18 Lambda Piscium A,A (Blue-White) Star,A7
Alhena,Alhena,A (Blue-White) Star,A1
32 l Persei,32 l Persei A,A (Blue-White) Star,A2
68 Draconis,68 Draconis A,F (White) Star,F5
58 Epsilon Herculis,58 Epsilon Herculis,A (Blue-White) Star,A0
28 Omega Piscium,28 Omega Piscium A,F (White) Star,F4
Sirius,Sirius,A (Blue-White) Star,A0
HR 6680,HR 6680 A,A (Blue-White) Star,A8
HR 8019,HR 8019 A,A (Blue-White) Star,A1
HR 5716,HR 5716,F (White) Star,F3
HR 8444,HR 8444,A (Blue-White) Star,A7
13 Leonis Minoris,13 Leonis Minoris A,F (White) Star,F3
e Geminorum,e Geminorum,A (Blue-White) Star,A8
55 Ursae Majoris,55 Ursae Majoris,A (Blue-White) Star,A2
HR 8662,HR 8662 A,A (Blue-White) Star,A9
Gliese 110,Gliese 110 A,F (White) Star,F9
HR 8786,HR 8786 A,A (Blue-White) Star,A3
HIP 16591,HIP 16591,A (Blue-White) Star,A3
10 Kappa Pegasi,10 Kappa Pegasi,F (White) Star,F5
56 Cygni,56 Cygni,A (Blue-White) Star,A6
Upsilon Phoenicis,Upsilon Phoenicis,A (Blue-White) Star,A4
HR 1955,HR 1955,F (White) Star,F0
Zuben Elgenubi,Zuben Elgenubi,A (Blue-White) Star,A3
Delta Horologii,Delta Horologii,F (White) Star,F2
HIP 11886,HIP 11886,F (White) Star,F5
42 n Persei,42 n Persei A,A (Blue-White) Star,A3
Gliese 4261,Gliese 4261 A,G (White-Yellow) Star,G0
22 Gamma Piscis Austrini,22 Gamma Piscis Austrini A,A (Blue-White) Star,A0
Lalande 5761,Lalande 5761 A,A (Blue-White) Star,A4
HIP 110355,HIP 110355,F (White) Star,F7
Wasat,Wasat,F (White) Star,F2
4 A1 Virginis,4 A1 Virginis,A (Blue-White) Star,A1
41 Upsilon-4 Eridani,41 Upsilon-4 Eridani A,B (Blue-White) Star,B6
Sadalachbia,Sadalachbia,A (Blue-White) Star,A0
BD+67 1409,BD+67 1409,A (Blue-White) Star,A0
HIP 24019,HIP 24019,A (Blue-White) Star,A9
63 Geminorum,63 Geminorum A,F (White) Star,F3
HIP 20347,HIP 20347,F (White) Star,F2
HIP 112368,HIP 112368 A,G (White-Yellow) Star,G9
HR 8593,HR 8593,A (Blue-White) Star,A7
HIP 24020,HIP 24020 A,A (Blue-White) Star,A3
n Puppis,n Puppis,F (White) Star,F4
Lambda Muscae,Lambda Muscae,A (Blue-White) Star,A7
HIP 92720,HIP 92720 A,G (White-Yellow) Star,G0
HIP 870,HIP 870,F (White) Star,F8
23 Andromedae,23 Andromedae,F (White) Star,F0
BD+15 4416,BD+15 4416,F (White) Star,F8
HIP 11796,HIP 11796 A,F (White) Star,F2
HIP 26372,HIP 26372,F (White) Star,F2
HIP 23318,HIP 23318,F (White) Star,F8
HIP 81061,HIP 81061 A,F (White) Star,F8
HIP 69124,HIP 69124,K (Yellow-Orange) Star,K1
HIP 74286,HIP 74286 A,F (White) Star,F6
HIP 509,HIP 509,G (White-Yellow) Star,G3
HIP 5578,HIP 5578,F (White) Star,F9
G 266-46,G 266-46,F (White) Star,F5
HIP 104864,HIP 104864 A,G (White-Yellow) Star,G2
HIP 14974,HIP 14974,G (White-Yellow) Star,G5
40 Ceti,40 Ceti,F (White) Star,F9
LTT 149,LTT 149,G (White-Yellow) Star,G3
Arkab Posterior,Arkab Posterior,F (White) Star,F0
HIP 23259,HIP 23259 A,G (White-Yellow) Star,G2
Bestia,Bestia A,G (White-Yellow) Star,G2
Luyten 145-141,Luyten 145-141 A,White Dwarf (D) Star,null
HIP 83099,HIP 83099 A,G (White-Yellow) Star,G2
BD+65 626,BD+65 626,G (White-Yellow) Star,G0
FAUST 3566,FAUST 3566 A,F (White) Star,F9
HIP 72663,HIP 72663,G (White-Yellow) Star,G8
HIP 76982,HIP 76982,G (White-Yellow) Star,G1
HIP 51877,HIP 51877,G (White-Yellow) Star,G5
HIP 68801,HIP 68801,G (White-Yellow) Star,G5
Fehu,Fehu,F (White) Star,F5
HIP 8758,HIP 8758 A,G (White-Yellow) Star,G0
HIP 1795,HIP 1795 A,F (White) Star,F2
HIP 1567,HIP 1567 A,F (White) Star,F8
HIP 11448,HIP 11448 A,F (White) Star,F7
HIP 11448,HIP 11448 B,K (Yellow-Orange) Star,K8
Saffron,Saffron,F (White) Star,F8
Gliese 9142,Gliese 9142,K (Yellow-Orange) Star,K0
Svass,Svass,G (White-Yellow) Star,G5
FAUST 68,FAUST 68,F (White) Star,F6
HIP 82954,HIP 82954,G (White-Yellow) Star,G3
BD+16 1001,BD+16 1001,F (White) Star,F5
Breksta,Breksta A,G (White-Yellow) Star,G3
Aecerbot,Aecerbot,G (White-Yellow) Star,G3
LTT 5276,LTT 5276,F (White) Star,F9
HIP 44089,HIP 44089,G (White-Yellow) Star,G2
HIP 53196,HIP 53196,G (White-Yellow) Star,G0
HIP 12248,HIP 12248,G (White-Yellow) Star,G0
HIP 7136,HIP 7136,F (White) Star,F3
HIP 1937,HIP 1937 A,G (White-Yellow) Star,G3
HR 1785,HR 1785,F (White) Star,F6
HIP 20998,HIP 20998,G (White-Yellow) Star,G5
HIP 56519,HIP 56519,F (White) Star,F0
HIP 44212,HIP 44212 A,F (White) Star,F8
HIP 19869,HIP 19869 A,G (White-Yellow) Star,G0
HIP 62154,HIP 62154,A (Blue-White) Star,A1
Iota Aquarii,Iota Aquarii A,B (Blue-White) Star,B8
Alrisha,Alrisha A,A (Blue-White) Star,A2
31 Epsilon Librae,31 Epsilon Librae A,F (White) Star,F4
Nu Caeli,Nu Caeli A,F (White) Star,F2
83 Aquarii,83 Aquarii,F (White) Star,F0
Ancha,Ancha A,K (Yellow-Orange giant) Star,K0
7 Alpha Lacertae,7 Alpha Lacertae A,A (Blue-White) Star,A1
Tau Sculptoris,Tau Sculptoris A,F (White) Star,F2
Phi Eridani,Phi Eridani A,B (Blue-White) Star,B6
Athena,Athena,A (Blue-White) Star,A1
HR 4673,HR 4673,A (Blue-White) Star,A4
2 Hydrae,2 Hydrae A,A (Blue-White) Star,A5
HR 6797,HR 6797 A,F (White) Star,F5
s Eridani,s Eridani,A (Blue-White) Star,A1
HR 9060,HR 9060 A,A (Blue-White) Star,A2
Talitha,Talitha,A (Blue-White) Star,A7
8 Gamma Coronae Borealis,8 Gamma Coronae Borealis,A (Blue-White) Star,A0
HIP 42951,HIP 42951,F (White) Star,F7
8 Kappa Piscium,8 Kappa Piscium,A (Blue-White) Star,A0
61 Mu Orionis,61 Mu Orionis,A (Blue-White) Star,A2
28 Beta Serpentis,28 Beta Serpentis,A (Blue-White) Star,A1
HIP 30953,HIP 30953,F (White) Star,F2
6 Zeta-1 Lyrae,6 Zeta-1 Lyrae,A (Blue-White) Star,A5
16 Persei,16 Persei A,F (White) Star,F1
Beta-2 Tucanae,Beta-2 Tucanae,A (Blue-White) Star,A2
38 Lyncis,38 Lyncis,A (Blue-White) Star,A1
82 Pegasi,82 Pegasi A,A (Blue-White) Star,A3
7 Zeta-2 Lyrae,7 Zeta-2 Lyrae,F (White) Star,F1
Acamar,Acamar A,A (Blue-White) Star,A5
21 Arietis,21 Arietis,A (Blue-White) Star,A0
65 Kappa Tauri,65 Kappa Tauri A,A (Blue-White) Star,A6
HIP 88726,HIP 88726,A (Blue-White) Star,A5
2 Lyncis,2 Lyncis A,A (Blue-White) Star,A2
23 h Ursae Majoris,23 h Ursae Majoris,F (White) Star,F0
67 Tauri,67 Tauri A,F (White) Star,F0
Epsilon Monocerotis,Epsilon Monocerotis,A (Blue-White) Star,A8
Theta Ursae Majoris,Theta Ursae Majoris,F (White) Star,F7
HIP 1736,HIP 1736 A,F (White) Star,F5
HIP 1427,HIP 1427,F (White) Star,F6
HIP 1427,Piscium Sector TF-N a7-1 A,L (Brown dwarf) Star,L6
HR 8276,HR 8276,F (White) Star,F2
HIP 98878,HIP 98878,G (White-Yellow) Star,G6
HIP 12040,HIP 12040 A,F (White) Star,F8
HIP 3267,HIP 3267 A,F (White) Star,F8
HR 7079,HR 7079 A,F (White) Star,F7
HIP 73623,HIP 73623 A,G (White-Yellow) Star,G0
HIP 81085,HIP 81085 A,F (White) Star,F7
T Tauri,LP 348-64,M (Red dwarf) Star,M9
T Tauri,T Tauri A,G (White-Yellow) Star,G5
HIP 772,HIP 772,G (White-Yellow) Star,G3
HIP 10449,HIP 10449 A,G (White-Yellow) Star,G1
HIP 1003,HIP 1003,G (White-Yellow) Star,G8
Epsilon Microscopii,Epsilon Microscopii A,A (Blue-White) Star,A2
HIP 15278,HIP 15278,G (White-Yellow) Star,G5
Lalande 2450,Lalande 2450,G (White-Yellow) Star,G2
LTT 7701,LTT 7701,G (White-Yellow) Star,G2
Forlog,Forlog A,G (White-Yellow) Star,G5
Utu,Utu A,G (White-Yellow) Star,G1
Bilfrost,Bilfrost A,G (White-Yellow) Star,G4
35 Leonis Minoris,35 Leonis Minoris,F (White) Star,F4
HIP 2318,HIP 2318 A,G (White-Yellow) Star,G1
HIP 1977,HIP 1977 A,G (White-Yellow) Star,G0
LTT 135,LTT 135,G (White-Yellow) Star,G2
HIP 2841,HIP 2841,F (White) Star,F2
14 Eridani,14 Eridani,F (White) Star,F5
HIP 87154,HIP 87154,G (White-Yellow) Star,G6
V352 Canis Majoris,V352 Canis Majoris A,G (White-Yellow) Star,G6
Gurney Slade,Gurney Slade,G (White-Yellow) Star,G5
HIP 38172,HIP 38172,F (White) Star,F5
Wolf 363,Wolf 363,G (White-Yellow) Star,G8
HIP 65708,HIP 65708 A,G (White-Yellow) Star,G3
HIP 64905,HIP 64905,G (White-Yellow) Star,G8
HIP 12868,HIP 12868,K (Yellow-Orange) Star,K0
HIP 1419,HIP 1419,G (White-Yellow) Star,G5
HIP 25461,HIP 25461,F (White) Star,F7
HIP 43197,HIP 43197,F (White) Star,F5
HIP 56950,HIP 56950,G (White-Yellow) Star,G2
HIP 20920,HIP 20920 A,F (White) Star,F5
HIP 15886,HIP 15886 A,A (Blue-White) Star,A2
Pencil Sector EL-Y d5,Pencil Sector EL-Y d5 A,G (White-Yellow) Star,G3
HR 1812,HR 1812 A,F (White) Star,F5
Subra,Subra,A (Blue-White) Star,A5
Xi-2 Lupi,Xi-2 Lupi A,A (Blue-White) Star,A1
k Velorum A,k Velorum A A,F (White) Star,F3
69 Upsilon Tauri,69 Upsilon Tauri A,A (Blue-White) Star,A8
Deneb Algedi,Deneb Algedi,A (Blue-White) Star,A5
HR 7012,HR 7012,A (Blue-White) Star,A7
Regulus,Regulus,B (Blue-White) Star,B8
Iota-1 Normae,Iota-1 Normae A,A (Blue-White) Star,A7
Deneb el Okab,Deneb el Okab,K (Yellow-Orange giant) Star,K1
HR 5991,HR 5991,F (White) Star,F0
Sirsir,Sirsir,A (Blue-White) Star,A7
Celaeno,Celaeno,B (Blue-White) Star,B7
Bharani,Bharani A,B (Blue-White) Star,B7
17 Lyrae,17 Lyrae,F (White) Star,F0
Eta Telescopii,Eta Telescopii,A (Blue-White) Star,A0
p Velorum,p Velorum,A (Blue-White) Star,A0
Iota Trianguli Australis,Iota Trianguli Australis A,F (White) Star,F0
Electra,Electra,B (Blue-White) Star,B6
Inti,Inti A,A (Blue-White) Star,A3
52 h2 Sagittarii,52 h2 Sagittarii,B (Blue-White) Star,B8
40 Leonis Minoris,40 Leonis Minoris,A (Blue-White) Star,A3
21 Iota Serpentis,21 Iota Serpentis,A (Blue-White) Star,A1
Gliese 170.1,Gliese 170.1,A (Blue-White) Star,A7
Gomeisa,Gomeisa,B (Blue-White) Star,B8
HIP 52469,HIP 52469 A,F (White) Star,F0
HR 6201,HR 6201,A (Blue-White) Star,A7
33 G. Antlia,33 G. Antlia,G (White-Yellow) Star,G1
Wo 9812 B,Wo 9812 B,A (Blue-White) Star,A3
HR 6202,HR 6202,F (White) Star,F6
Asterope,Asterope A,B (Blue-White) Star,B8
4 Camelopardalis,4 Camelopardalis,A (Blue-White) Star,A3
Rho Capricorni,Rho Capricorni,F (White) Star,F2
14 Psi Cancri,14 Psi Cancri,G (White-Yellow) Star,G7
HR 6297,HR 6297,A (Blue-White) Star,A5
HR 5025,HR 5025 A,A (Blue-White) Star,A7
HIP 106568,HIP 106568 A,F (White) Star,F7
Rho Andromedae,Rho Andromedae A,F (White) Star,F5
HIP 3509,HIP 3509,F (White) Star,F8
BD+38 3327,BD+38 3327,F (White) Star,F8
HIP 88644,HIP 88644,G (White-Yellow) Star,G5
HIP 31473,HIP 31473 A,G (White-Yellow) Star,G5
HIP 75039,HIP 75039,F (White) Star,F7
HIP 914,HIP 914 A,G (White-Yellow) Star,G6
HIP 5840,HIP 5840 A,F (White) Star,F6
HIP 1134,HIP 1134 A,F (White) Star,F7
HIP 15412,HIP 15412 A,G (White-Yellow) Star,G5
93 Rho Piscium,93 Rho Piscium A,F (White) Star,F2
HIP 96095,HIP 96095 A,F (White) Star,F6
HIP 91085,HIP 91085,G (White-Yellow) Star,G8
GCRV 3034,GCRV 3034,G (White-Yellow) Star,G3
Mentor,Mentor,G (White-Yellow) Star,G2
Gliese 3944,Gliese 3944,G (White-Yellow) Star,G2
HIP 83163,HIP 83163,G (White-Yellow) Star,G0
Lalande 16904,Lalande 16904 A,G (White-Yellow) Star,G3
HIP 74067,HIP 74067 A,G (White-Yellow) Star,G2
HIP 52137,HIP 52137 A,G (White-Yellow) Star,G0
HIP 62857,HIP 62857 A,F (White) Star,F9
HIP 8807,HIP 8807,F (White) Star,F5
HIP 11954,HIP 11954,F (White) Star,F7
Cegreeth,Cegreeth,F (White) Star,F8
CD-64 139,CD-64 139,F (White) Star,F7
HR 1076,HR 1076 A,F (White) Star,F7
Tetrian,Tetrian,G (White-Yellow) Star,G1
HIP 85010,HIP 85010 A,F (White) Star,F5
HIP 30030,HIP 30030 A,G (White-Yellow) Star,G0
